timestamp,kernel,power_watts,utilization,sm_clock,mem_clock,temperature,pstate,memory_utilization,memory_used_MiB,memory_total_MiB,memory_free_MiB,memory_bandwidth_pct
27.275822162628174,Strategy1,14.23,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
27.54716920852661,Strategy1,16.37,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
27.81961750984192,Strategy1,16.13,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
28.09290862083435,Strategy1,14.47,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
28.363406658172607,Strategy1,16.51,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
28.63391923904419,Strategy1,16.24,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
28.916561126708984,Strategy1,15.69,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
29.19542932510376,Strategy1,14.62,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
29.471664667129517,Strategy1,17.16,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
29.74376940727234,Strategy1,16.24,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
30.015158653259277,Strategy1,15.53,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
30.286688566207886,Strategy1,14.64,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
30.557425260543823,Strategy1,16.52,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
30.839046239852905,Strategy1,16.03,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
31.12094497680664,Strategy1,15.02,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
31.393863201141357,Strategy1,14.6,0.0,300.0,405.0,39.0,P8,0.0,101.0,8192.0,7687.0,0.0
